	pielou_evenness
2019.3.14.cow.fecal.1	0.9086180289037793
2019.3.14.cow.fecal.10	0.8007921020941863
2019.3.14.cow.fecal.11	0.8760883805037049
2019.3.14.cow.fecal.12	0.8748288775057514
2019.3.14.cow.fecal.13	0.877842296822931
2019.3.14.cow.fecal.13.rep	0.8867866510637424
2019.3.14.cow.fecal.14	0.8367509143793461
2019.3.14.cow.fecal.14.rep	0.8022016150271539
2019.3.14.cow.fecal.15	0.8344027195738892
2019.3.14.cow.fecal.15.rep	0.8485579858849778
2019.3.14.cow.fecal.16	0.5162366311974799
2019.3.14.cow.fecal.17	0.8088802342633035
2019.3.14.cow.fecal.17.rep	0.800764809013167
2019.3.14.cow.fecal.18	0.8721099141191555
2019.3.14.cow.fecal.18.rep	0.8668927660584316
2019.3.14.cow.fecal.19	0.8693439010082916
2019.3.14.cow.fecal.19.rep	0.8668340342567846
2019.3.14.cow.fecal.2	0.8771366728690265
2019.3.14.cow.fecal.20	0.8721096801755607
2019.3.14.cow.fecal.20.rep	0.8712003412027799
2019.3.14.cow.fecal.3	0.77778452654244
2019.3.14.cow.fecal.4	0.882988167216072
2019.3.14.cow.fecal.5	0.8665530467626897
2019.3.14.cow.fecal.5.rep	0.8765289602398585
2019.3.14.cow.fecal.6	0.7902557060960987
2019.3.14.cow.fecal.7	0.8630547466686389
2019.3.14.cow.fecal.7.rep	0.8227021892384784
2019.3.14.cow.fecal.8	0.8530256060017758
2019.3.14.cow.fecal.9	0.8775550144405893
2019.3.14.cow.fecal.9.rep	0.8659508370629396
2019.3.14.cow.nasal.1	0.3564787876005202
2019.3.14.cow.nasal.13	0.5921309559964656
2019.3.14.cow.nasal.14	0.2987695817499365
2019.3.14.cow.nasal.15	0.270687915841289
2019.3.14.cow.nasal.15.rep	0.4500312148689471
2019.3.14.cow.nasal.18.rep	0.26198075745292265
2019.3.14.cow.nasal.2	0.4763938399127518
2019.3.14.cow.nasal.3	0.5225510602153445
2019.3.14.cow.nasal.6	0.27528452020940913
2019.3.14.cow.nasal.7	0.861145339378546
2019.3.14.cow.oral.1	0.5400559556249954
2019.3.14.cow.oral.1.rep	0.6160563818417387
2019.3.14.cow.oral.12	0.8409118617313054
2019.3.14.cow.oral.13.rep	0.5774730174670002
2019.3.14.cow.oral.15	0.7026698930496359
2019.3.14.cow.oral.16	0.8064765777544395
2019.3.14.cow.oral.17	0.8446498407870868
2019.3.14.cow.oral.2	0.7890091817484322
2019.3.14.cow.oral.3	0.6664831270515098
2019.3.14.cow.oral.3.rep	0.6450195617574449
2019.3.14.cow.oral.9	0.8284368447445444
2019.3.14.cow.skin.rump.1	0.8671261866721819
2019.3.14.cow.skin.rump.10	0.8678941933886023
2019.3.14.cow.skin.rump.11	0.8781989787344633
2019.3.14.cow.skin.rump.12	0.8489297159490201
2019.3.14.cow.skin.rump.13	0.8345679825289989
2019.3.14.cow.skin.rump.14	0.8549464198405344
2019.3.14.cow.skin.rump.15	0.867330095891801
2019.3.14.cow.skin.rump.16	0.8802145832995235
2019.3.14.cow.skin.rump.18	0.8731535519862405
2019.3.14.cow.skin.rump.19	0.8676160190144528
2019.3.14.cow.skin.rump.2	0.864103710389649
2019.3.14.cow.skin.rump.20	0.8759966875759105
2019.3.14.cow.skin.rump.3	0.8551636703851238
2019.3.14.cow.skin.rump.4	0.8649599455437988
2019.3.14.cow.skin.rump.5	0.8867757090743213
2019.3.14.cow.skin.rump.6	0.8676455486959707
2019.3.14.cow.skin.rump.7	0.8796264139371235
2019.3.14.cow.skin.rump.8	0.8593433342561498
2019.3.14.cow.skin.rump.8.rep	0.8681067964071306
2019.3.14.cow.skin.rump.9	0.8803329616626212
2019.3.14.cow.udder.1	0.8651164532665903
2019.3.14.cow.udder.10	0.8723598168917658
2019.3.14.cow.udder.12	0.8477915826623647
2019.3.14.cow.udder.13	0.8802262736797678
2019.3.14.cow.udder.14	0.8834976169445413
2019.3.14.cow.udder.15	0.8842171348109631
2019.3.14.cow.udder.19	0.8644836457705185
2019.3.14.cow.udder.20	0.8740852481831762
2019.3.14.cow.udder.4	0.8696674556767139
2019.3.14.cow.udder.5	0.7986695748156472
2019.3.14.cow.udder.9	0.8912171991537725
PC1.3	0.7045690043588531
PC1.4	0.6783798352562427
