	faith_pd
2019.3.14.cow.fecal.1	43.3680381707276
2019.3.14.cow.fecal.10	59.07240459739007
2019.3.14.cow.fecal.11	68.78921137816911
2019.3.14.cow.fecal.12	52.16749031889383
2019.3.14.cow.fecal.13	73.7524832702507
2019.3.14.cow.fecal.13.rep	63.91570598096152
2019.3.14.cow.fecal.14	60.67110668761762
2019.3.14.cow.fecal.14.rep	67.98155821983224
2019.3.14.cow.fecal.15	58.312686340542
2019.3.14.cow.fecal.15.rep	52.72824480602957
2019.3.14.cow.fecal.16	53.25347748208638
2019.3.14.cow.fecal.17	69.30234016802419
2019.3.14.cow.fecal.17.rep	74.06275441662633
2019.3.14.cow.fecal.18	70.10889016084576
2019.3.14.cow.fecal.18.rep	73.93347221779969
2019.3.14.cow.fecal.19	63.49126293509924
2019.3.14.cow.fecal.19.rep	60.86058211081139
2019.3.14.cow.fecal.2	65.78244421861004
2019.3.14.cow.fecal.20	61.80255853707531
2019.3.14.cow.fecal.20.rep	60.20043080024799
2019.3.14.cow.fecal.3	74.36526827243922
2019.3.14.cow.fecal.4	66.11973081402272
2019.3.14.cow.fecal.5	63.86899558468145
2019.3.14.cow.fecal.5.rep	62.11015046418465
2019.3.14.cow.fecal.6	60.41625117576886
2019.3.14.cow.fecal.7	70.68205740536607
2019.3.14.cow.fecal.7.rep	66.23343894513224
2019.3.14.cow.fecal.8	73.26261086597488
2019.3.14.cow.fecal.9	60.34324293704799
2019.3.14.cow.fecal.9.rep	60.41132998738395
2019.3.14.cow.nasal.1	22.87920386001664
2019.3.14.cow.nasal.13	33.38542708042956
2019.3.14.cow.nasal.14	22.21381237617985
2019.3.14.cow.nasal.15	20.0718380650299
2019.3.14.cow.nasal.15.rep	28.17685335713536
2019.3.14.cow.nasal.18.rep	14.03789610018083
2019.3.14.cow.nasal.2	30.86360806895692
2019.3.14.cow.nasal.3	18.6823774893154
2019.3.14.cow.nasal.6	15.05719338479584
2019.3.14.cow.nasal.7	52.68432598752018
2019.3.14.cow.oral.1	23.1622848829094
2019.3.14.cow.oral.1.rep	31.32377489481233
2019.3.14.cow.oral.12	46.87629355194119
2019.3.14.cow.oral.13.rep	49.61345848868802
2019.3.14.cow.oral.15	32.81962981244722
2019.3.14.cow.oral.16	29.80814314581049
2019.3.14.cow.oral.17	46.2888164685617
2019.3.14.cow.oral.2	37.7876540164041
2019.3.14.cow.oral.3	26.68574380364372
2019.3.14.cow.oral.3.rep	24.99094185770218
2019.3.14.cow.oral.9	56.68705162115387
2019.3.14.cow.skin.rump.1	75.9218619635132
2019.3.14.cow.skin.rump.10	81.44701749384872
2019.3.14.cow.skin.rump.11	77.41766167684956
2019.3.14.cow.skin.rump.12	77.72846106924857
2019.3.14.cow.skin.rump.13	54.95558890916666
2019.3.14.cow.skin.rump.14	68.71384695660836
2019.3.14.cow.skin.rump.15	65.42391070246683
2019.3.14.cow.skin.rump.16	70.04523559870452
2019.3.14.cow.skin.rump.18	78.65532278122848
2019.3.14.cow.skin.rump.19	72.2240577067498
2019.3.14.cow.skin.rump.2	78.51595723858112
2019.3.14.cow.skin.rump.20	67.02228957634443
2019.3.14.cow.skin.rump.3	53.37696041442984
2019.3.14.cow.skin.rump.4	62.85134846387437
2019.3.14.cow.skin.rump.5	59.14882217484999
2019.3.14.cow.skin.rump.6	72.73451832450014
2019.3.14.cow.skin.rump.7	52.78842628180558
2019.3.14.cow.skin.rump.8	97.87479299781312
2019.3.14.cow.skin.rump.8.rep	78.008220981573
2019.3.14.cow.skin.rump.9	83.95271608635093
2019.3.14.cow.udder.1	53.36213467016595
2019.3.14.cow.udder.10	59.53685626405792
2019.3.14.cow.udder.12	52.79432342062599
2019.3.14.cow.udder.13	54.54677651651124
2019.3.14.cow.udder.14	54.49235509281149
2019.3.14.cow.udder.15	59.40934300595617
2019.3.14.cow.udder.19	59.27313242954815
2019.3.14.cow.udder.20	64.90709486239496
2019.3.14.cow.udder.4	68.28487496186725
2019.3.14.cow.udder.5	45.14940628841564
2019.3.14.cow.udder.9	57.4430630678352
PC1.3	6.752811949429201
PC1.4	8.084305991151098
