	observed_features
2019.3.14.cow.fecal.1	197
2019.3.14.cow.fecal.10	399
2019.3.14.cow.fecal.11	445
2019.3.14.cow.fecal.12	312
2019.3.14.cow.fecal.13	471
2019.3.14.cow.fecal.13.rep	405
2019.3.14.cow.fecal.14	392
2019.3.14.cow.fecal.14.rep	462
2019.3.14.cow.fecal.15	392
2019.3.14.cow.fecal.15.rep	351
2019.3.14.cow.fecal.16	292
2019.3.14.cow.fecal.17	448
2019.3.14.cow.fecal.17.rep	478
2019.3.14.cow.fecal.18	459
2019.3.14.cow.fecal.18.rep	512
2019.3.14.cow.fecal.19	440
2019.3.14.cow.fecal.19.rep	421
2019.3.14.cow.fecal.2	422
2019.3.14.cow.fecal.20	424
2019.3.14.cow.fecal.20.rep	417
2019.3.14.cow.fecal.3	473
2019.3.14.cow.fecal.4	450
2019.3.14.cow.fecal.5	446
2019.3.14.cow.fecal.5.rep	464
2019.3.14.cow.fecal.6	341
2019.3.14.cow.fecal.7	463
2019.3.14.cow.fecal.7.rep	440
2019.3.14.cow.fecal.8	481
2019.3.14.cow.fecal.9	396
2019.3.14.cow.fecal.9.rep	393
2019.3.14.cow.nasal.1	65
2019.3.14.cow.nasal.13	131
2019.3.14.cow.nasal.14	80
2019.3.14.cow.nasal.15	66
2019.3.14.cow.nasal.15.rep	96
2019.3.14.cow.nasal.18.rep	38
2019.3.14.cow.nasal.2	112
2019.3.14.cow.nasal.3	49
2019.3.14.cow.nasal.6	41
2019.3.14.cow.nasal.7	244
2019.3.14.cow.oral.1	96
2019.3.14.cow.oral.1.rep	130
2019.3.14.cow.oral.12	192
2019.3.14.cow.oral.13.rep	232
2019.3.14.cow.oral.15	123
2019.3.14.cow.oral.16	145
2019.3.14.cow.oral.17	187
2019.3.14.cow.oral.2	158
2019.3.14.cow.oral.3	103
2019.3.14.cow.oral.3.rep	90
2019.3.14.cow.oral.9	238
2019.3.14.cow.skin.rump.1	467
2019.3.14.cow.skin.rump.10	452
2019.3.14.cow.skin.rump.11	430
2019.3.14.cow.skin.rump.12	420
2019.3.14.cow.skin.rump.13	273
2019.3.14.cow.skin.rump.14	347
2019.3.14.cow.skin.rump.15	352
2019.3.14.cow.skin.rump.16	354
2019.3.14.cow.skin.rump.18	471
2019.3.14.cow.skin.rump.19	410
2019.3.14.cow.skin.rump.2	461
2019.3.14.cow.skin.rump.20	334
2019.3.14.cow.skin.rump.3	250
2019.3.14.cow.skin.rump.4	342
2019.3.14.cow.skin.rump.5	280
2019.3.14.cow.skin.rump.6	411
2019.3.14.cow.skin.rump.7	246
2019.3.14.cow.skin.rump.8	607
2019.3.14.cow.skin.rump.8.rep	445
2019.3.14.cow.skin.rump.9	506
2019.3.14.cow.udder.1	276
2019.3.14.cow.udder.10	312
2019.3.14.cow.udder.12	263
2019.3.14.cow.udder.13	282
2019.3.14.cow.udder.14	277
2019.3.14.cow.udder.15	314
2019.3.14.cow.udder.19	367
2019.3.14.cow.udder.20	401
2019.3.14.cow.udder.4	372
2019.3.14.cow.udder.5	217
2019.3.14.cow.udder.9	282
PC1.3	14
PC1.4	16
