	pielou_evenness
14989.skin.hip.CMU.16.03.2016.02.25.day1	0.7034862484958596
14989.skin.hip.CMU.16.03.2016.3.day10	0.6969616772593921
14989.skin.hip.CMU.16.03.2016.3.day11	0.7485964704912511
14989.skin.hip.CMU.16.03.2016.3.day12	0.8222295726461826
14989.skin.hip.CMU.16.03.2016.3.day13	0.7728656726608512
14989.skin.hip.CMU.16.03.2016.3.day15	0.7072768007345136
14989.skin.hip.CMU.16.03.2016.3.day16	0.7406593406557456
14989.skin.hip.CMU.16.03.2016.3.day17	0.5849489864894033
14989.skin.hip.CMU.16.03.2016.3.day18	0.6180790094243268
14989.skin.hip.CMU.16.03.2016.3.day2	0.6270181001413305
14989.skin.hip.CMU.16.03.2016.3.day20	0.7473384682983288
14989.skin.hip.CMU.16.03.2016.3.day21	0.7616181253860347
14989.skin.hip.CMU.16.03.2016.3.day5	0.8133966123513414
14989.skin.hip.CMU.16.03.2016.3.day8	0.7256654074400775
14989.skin.hip.CMU.16.03.2016.3.day9	0.6997812092959307
14989.skin.hip.CMU.16.04.2016.mo.day1	0.6060392849759066
14989.skin.hip.CMU.16.04.2016.mo.day11	0.5379177847319464
14989.skin.hip.CMU.16.04.2016.mo.day13	0.6891902383429058
14989.skin.hip.CMU.16.04.2016.mo.day15	0.7951005759993416
14989.skin.hip.CMU.16.04.2016.mo.day16	0.6800200367077698
14989.skin.hip.CMU.16.04.2016.mo.day17	0.7960488382008364
14989.skin.hip.CMU.16.04.2016.mo.day18	0.7500920504623987
14989.skin.hip.CMU.16.04.2016.mo.day19	0.8008054340177233
14989.skin.hip.CMU.16.04.2016.mo.day20	0.8145189612477427
14989.skin.hip.CMU.16.04.2016.mo.day9	0.6766422742790129
14989.skin.hip.CMU.16.05.2016.mo.day1	0.783276054271554
14989.skin.hip.CMU.16.05.2016.mo.day10	0.7903108535310303
14989.skin.hip.CMU.16.05.2016.mo.day11	0.7663976297992292
14989.skin.hip.CMU.16.05.2016.mo.day12	0.7479559228089491
14989.skin.hip.CMU.16.05.2016.mo.day13	0.6786846406093517
14989.skin.hip.CMU.16.05.2016.mo.day14	0.877254598866932
14989.skin.hip.CMU.16.05.2016.mo.day15	0.8312218522085102
14989.skin.hip.CMU.16.05.2016.mo.day16	0.8330505122126048
14989.skin.hip.CMU.16.05.2016.mo.day17	0.6986925274118224
14989.skin.hip.CMU.16.05.2016.mo.day18	0.6570982187800243
14989.skin.hip.CMU.16.05.2016.mo.day19	0.6578411520632573
14989.skin.hip.CMU.16.05.2016.mo.day2	0.8172674176665352
14989.skin.hip.CMU.16.05.2016.mo.day20	0.7533875060429829
14989.skin.hip.CMU.16.05.2016.mo.day21	0.5933298309427356
14989.skin.hip.CMU.16.05.2016.mo.day3	0.7640501445289104
14989.skin.hip.CMU.16.05.2016.mo.day4	0.8237005549471151
14989.skin.hip.CMU.16.05.2016.mo.day8	0.7840829143488648
14989.skin.hip.CMU.16.05.2016.mo.day9	0.831019945004764
14989.skin.hip.UTK.K016.01.2016.04.07.day3	0.9431224467346192
14989.skin.hip.UTK.K016.01.2016.04.11.day7	0.785582875004844
14989.skin.hip.UTK.K016.01.2016.04.12.day8	0.7048686480431966
14989.skin.hip.UTK.K016.01.2016.04.13.day9	0.7468983835467232
14989.skin.hip.UTK.K016.01.2016.04.14.day10	0.7042255350756048
14989.skin.hip.UTK.K016.01.2016.04.15.day11	0.7823595673250617
14989.skin.hip.UTK.K016.01.2016.04.16.day12	0.63282832989483
14989.skin.hip.UTK.K016.02.2016.04.13.day1	0.306926635545714
14989.skin.hip.UTK.K016.02.2016.04.14.day2	0.5934458125802604
14989.skin.hip.UTK.K016.02.2016.04.15.day3	0.6092349833298445
