	faith_pd
14989.skin.hip.CMU.16.03.2016.02.25.day1	20.46322723813271
14989.skin.hip.CMU.16.03.2016.3.day10	13.35615923915558
14989.skin.hip.CMU.16.03.2016.3.day11	12.22309407619002
14989.skin.hip.CMU.16.03.2016.3.day12	11.69132034998773
14989.skin.hip.CMU.16.03.2016.3.day13	20.19478934508281
14989.skin.hip.CMU.16.03.2016.3.day15	16.30306095947566
14989.skin.hip.CMU.16.03.2016.3.day16	12.47544522924368
14989.skin.hip.CMU.16.03.2016.3.day17	8.62226725920384
14989.skin.hip.CMU.16.03.2016.3.day18	10.74254347033058
14989.skin.hip.CMU.16.03.2016.3.day2	11.40757422256294
14989.skin.hip.CMU.16.03.2016.3.day20	12.22727820891508
14989.skin.hip.CMU.16.03.2016.3.day21	13.59566026579135
14989.skin.hip.CMU.16.03.2016.3.day5	13.79869683059707
14989.skin.hip.CMU.16.03.2016.3.day8	13.43174183995401
14989.skin.hip.CMU.16.03.2016.3.day9	24.87139521949001
14989.skin.hip.CMU.16.04.2016.mo.day1	13.14071770094966
14989.skin.hip.CMU.16.04.2016.mo.day11	8.19089202077099
14989.skin.hip.CMU.16.04.2016.mo.day13	14.24176255296509
14989.skin.hip.CMU.16.04.2016.mo.day15	8.548316547775856
14989.skin.hip.CMU.16.04.2016.mo.day16	19.53943475660741
14989.skin.hip.CMU.16.04.2016.mo.day17	9.823733152381395
14989.skin.hip.CMU.16.04.2016.mo.day18	13.40951882225856
14989.skin.hip.CMU.16.04.2016.mo.day19	9.605312193071812
14989.skin.hip.CMU.16.04.2016.mo.day20	10.94197710854125
14989.skin.hip.CMU.16.04.2016.mo.day9	21.73614735598564
14989.skin.hip.CMU.16.05.2016.mo.day1	14.09861233755291
14989.skin.hip.CMU.16.05.2016.mo.day10	22.00702028243417
14989.skin.hip.CMU.16.05.2016.mo.day11	18.86910308224657
14989.skin.hip.CMU.16.05.2016.mo.day12	8.805292784732545
14989.skin.hip.CMU.16.05.2016.mo.day13	12.98262229215324
14989.skin.hip.CMU.16.05.2016.mo.day14	9.444957566364836
14989.skin.hip.CMU.16.05.2016.mo.day15	12.04872115755471
14989.skin.hip.CMU.16.05.2016.mo.day16	10.05672313145418
14989.skin.hip.CMU.16.05.2016.mo.day17	7.947112055118838
14989.skin.hip.CMU.16.05.2016.mo.day18	6.893293876351139
14989.skin.hip.CMU.16.05.2016.mo.day19	16.91696658497472
14989.skin.hip.CMU.16.05.2016.mo.day2	22.50736051127723
14989.skin.hip.CMU.16.05.2016.mo.day20	9.890479718730877
14989.skin.hip.CMU.16.05.2016.mo.day21	12.25746134993584
14989.skin.hip.CMU.16.05.2016.mo.day3	29.6560110917975
14989.skin.hip.CMU.16.05.2016.mo.day4	25.02647255931626
14989.skin.hip.CMU.16.05.2016.mo.day8	16.72485779940943
14989.skin.hip.CMU.16.05.2016.mo.day9	14.95976347210092
14989.skin.hip.UTK.K016.01.2016.04.07.day3	45.84562465296676
14989.skin.hip.UTK.K016.01.2016.04.11.day7	7.117002950855806
14989.skin.hip.UTK.K016.01.2016.04.12.day8	7.946284827606917
14989.skin.hip.UTK.K016.01.2016.04.13.day9	12.80641428568947
14989.skin.hip.UTK.K016.01.2016.04.14.day10	12.98674853140079
14989.skin.hip.UTK.K016.01.2016.04.15.day11	16.05084662000894
14989.skin.hip.UTK.K016.01.2016.04.16.day12	12.87013570275241
14989.skin.hip.UTK.K016.02.2016.04.13.day1	8.40342930221567
14989.skin.hip.UTK.K016.02.2016.04.14.day2	7.71429528581848
14989.skin.hip.UTK.K016.02.2016.04.15.day3	9.29575504045986
14989.skin.hip.UTK.K016.02.2016.04.16.day4	11.1932243606439
14989.skin.hip.UTK.K016.02.2016.04.17.day5	8.640410737221373
14989.skin.hip.UTK.K016.02.2016.04.18.day6	12.83180289416009
14989.soil.hip.CMU.16.03.2016.3.day1	14.6956388043651
14989.soil.hip.CMU.16.03.2016.3.day11	20.22055002541988
14989.soil.hip.CMU.16.03.2016.3.day12	20.45372922236429
14989.soil.hip.CMU.16.03.2016.3.day13	23.06808256567952
14989.soil.hip.CMU.16.03.2016.3.day14	27.3194253048277
14989.soil.hip.CMU.16.03.2016.3.day16	40.42570269404945
14989.soil.hip.CMU.16.03.2016.3.day19	23.98551205825187
14989.soil.hip.CMU.16.03.2016.3.day2	13.045397035316
14989.soil.hip.CMU.16.03.2016.3.day20	30.54085747008119
14989.soil.hip.CMU.16.03.2016.3.day21	18.73471068809248
14989.soil.hip.CMU.16.03.2016.3.day3	24.63059246433104
14989.soil.hip.CMU.16.03.2016.3.day4	18.12205169557015
14989.soil.hip.CMU.16.03.2016.3.day5	35.57920785080954
14989.soil.hip.CMU.16.03.2016.3.day7	30.36151455784814
14989.soil.hip.CMU.16.03.2016.3.day8	25.95978087438426
14989.soil.hip.CMU.16.03.2016.3.day9	26.82856078735826
14989.soil.hip.CMU.16.04.2016.mo.day1	35.52062741938086
14989.soil.hip.CMU.16.04.2016.mo.day11	24.97683340282828
14989.soil.hip.CMU.16.04.2016.mo.day12	39.30203704872861
14989.soil.hip.CMU.16.04.2016.mo.day13	37.19931579039658
14989.soil.hip.CMU.16.04.2016.mo.day14	29.74663039924559
14989.soil.hip.CMU.16.04.2016.mo.day15	19.93247752352789
14989.soil.hip.CMU.16.04.2016.mo.day16	29.09416603979503
14989.soil.hip.CMU.16.04.2016.mo.day17	15.65630488204715
14989.soil.hip.CMU.16.04.2016.mo.day18	38.04125861776453
14989.soil.hip.CMU.16.04.2016.mo.day2	26.79667829519178
14989.soil.hip.CMU.16.04.2016.mo.day21	29.93413427131382
14989.soil.hip.CMU.16.04.2016.mo.day4	28.3552508952647
14989.soil.hip.CMU.16.04.2016.mo.day5	38.39875717656128
14989.soil.hip.CMU.16.04.2016.mo.day6	21.81310877850657
14989.soil.hip.CMU.16.04.2016.mo.day7	27.54887413685213
14989.soil.hip.CMU.16.04.2016.mo.day8	33.19442471159613
14989.soil.hip.CMU.16.04.2016.mo.day9	35.28494134268797
14989.soil.hip.CMU.16.05.2016.mo.day1	28.63565221180984
14989.soil.hip.CMU.16.05.2016.mo.day10	20.37882552054806
14989.soil.hip.CMU.16.05.2016.mo.day12	21.74953375660647
14989.soil.hip.CMU.16.05.2016.mo.day13	24.39791665511707
14989.soil.hip.CMU.16.05.2016.mo.day14	24.58175585711437
14989.soil.hip.CMU.16.05.2016.mo.day16	24.32505503805302
14989.soil.hip.CMU.16.05.2016.mo.day18	26.9155342174588
14989.soil.hip.CMU.16.05.2016.mo.day19	25.3116335849253
14989.soil.hip.CMU.16.05.2016.mo.day2	26.73778840116661
14989.soil.hip.CMU.16.05.2016.mo.day21	11.76300599589415
14989.soil.hip.CMU.16.05.2016.mo.day3	28.77974693608157
14989.soil.hip.CMU.16.05.2016.mo.day4	44.71854581716305
14989.soil.hip.SHSU.2016.007.2016.04.17.day3	23.87567766489435
14989.soil.hip.SHSU.2016.007.2016.04.18.day4	18.93128758747917
14989.soil.hip.SHSU.2016.007.2016.04.20.day6	11.90846040924036
14989.soil.hip.SHSU.2016.007.2016.04.21.day7	9.290141555262595
14989.soil.hip.SHSU.2016.011.2016.04.15.day1	26.89668284611128
14989.soil.hip.SHSU.2016.011.2016.04.16.day2	33.61799842492502
14989.soil.hip.SHSU.2016.011.2016.04.17.day3	14.68151876710856
14989.soil.hip.SHSU.2016.011.2016.04.18.day4	19.99652768595597
14989.soil.hip.SHSU.2016.011.2016.04.20.day6	9.915778925452331
14989.soil.hip.SHSU.2016.011.2016.04.21.day7	17.29320690543652
14989.soil.hip.SHSU.2016.024.2016.04.15.day1	25.76353655304268
14989.soil.hip.SHSU.2016.024.2016.04.17.day3	31.03188977242772
14989.soil.hip.SHSU.2016.024.2016.04.18.day4	19.58733973598065
14989.soil.hip.SHSU.2016.024.2016.04.20.day6	11.93495901221739
14989.soil.hip.SHSU.2016.024.2016.04.21.day7	15.48858666670303
14989.soil.hip.UTK.K016.01.2016.04.05.day1	31.94596499168259
14989.soil.hip.UTK.K016.01.2016.04.06.day2	44.43063233463101
14989.soil.hip.UTK.K016.01.2016.04.08.day4	32.92062174000236
14989.soil.hip.UTK.K016.01.2016.04.09.day5	23.35334806037901
14989.soil.hip.UTK.K016.01.2016.04.10.day6	35.05808651244007
14989.soil.hip.UTK.K016.01.2016.04.11.day7	46.24733710535074
14989.soil.hip.UTK.K016.01.2016.04.12.day8	42.66084261391908
14989.soil.hip.UTK.K016.01.2016.04.13.day9	31.09154232887232
14989.soil.hip.UTK.K016.01.2016.04.14.day10	30.13724423790467
14989.soil.hip.UTK.K016.01.2016.04.15.day11	15.13067484004944
14989.soil.hip.UTK.K016.01.2016.04.16.day12	17.07667337736444
14989.soil.hip.UTK.K016.01.2016.04.17.day13	10.4535393560609
14989.soil.hip.UTK.K016.01.2016.04.18.day14	10.02360410574818
14989.soil.hip.UTK.K016.01.2016.04.21.day17	13.92296454733616
14989.soil.hip.UTK.K016.01.2016.04.22.day18	23.72234237952927
14989.soil.hip.UTK.K016.01.2016.04.23.day19	10.50863546354543
14989.soil.hip.UTK.K016.01.2016.04.24.day20	14.09721123785511
14989.soil.hip.UTK.K016.01.2016.04.25.day21	13.39141273385098
14989.soil.hip.UTK.K016.02.2016.04.13.day1	33.29638758970171
14989.soil.hip.UTK.K016.02.2016.04.14.day2	35.16099035080686
14989.soil.hip.UTK.K016.02.2016.04.16.day4	42.47378058001618
14989.soil.hip.UTK.K016.02.2016.04.18.day6	29.93372825237662
14989.soil.hip.UTK.K016.02.2016.04.24.day12	28.97382287131052
14989.soil.hip.UTK.K016.02.2016.04.25.day13	37.96370658092752
14989.soil.hip.UTK.K016.02.2016.04.26.day14	18.0166144360803
14989.soil.hip.UTK.K016.02.2016.04.27.day15	28.05147976179962
14989.soil.hip.UTK.K016.02.2016.04.28.day16	18.46394973834492
14989.soil.hip.UTK.K016.02.2016.04.29.day17	30.89582189908822
14989.soil.hip.UTK.K016.02.2016.04.30.day18	17.22517043103574
14989.soil.hip.UTK.K016.02.2016.05.01.day19	24.5570934304785
14989.soil.hip.UTK.K016.02.2016.05.03.day21	26.31297668736983
14989.soil.hip.UTK.K016.03.2016.05.06.day1	35.50842356884341
14989.soil.hip.UTK.K016.03.2016.05.07.day2	45.39993092013157
14989.soil.hip.UTK.K016.03.2016.05.08.day3	39.52212244596944
14989.soil.hip.UTK.K016.03.2016.05.10.day5	23.51366953687761
14989.soil.hip.UTK.K016.03.2016.05.11.day6	27.43399177027675
14989.soil.hip.UTK.K016.03.2016.05.13.day8	25.76078559625546
14989.soil.hip.UTK.K016.03.2016.05.14.day9	21.04412816445071
14989.soil.hip.UTK.K016.03.2016.05.15.day10	31.03261433421639
14989.soil.hip.UTK.K016.03.2016.05.16.day11	17.40042317880267
14989.soil.hip.UTK.K016.03.2016.05.17.day12	31.29583038779043
14989.soil.hip.UTK.K016.03.2016.05.18.day13	22.63638750400489
14989.soil.hip.UTK.K016.03.2016.05.19.day14	24.43102369459385
14989.soil.hip.UTK.K016.03.2016.05.20.day15	20.65015644534103
14989.soil.hip.UTK.K016.03.2016.05.21.day16	32.75543618390853
14989.skin.hip.CMU.16.03.2016.3.day3	24.537033405165
14989.skin.hip.CMU.16.04.2016.mo.day8	14.079883339626
14989.skin.hip.SHSU.2016.007.2016.04.17.day3	25.2804927406916
14989.skin.hip.SHSU.2016.007.2016.04.18.day4	10.5936817574809
14989.skin.hip.SHSU.2016.007.2016.04.19.day5	11.82921268100994
14989.skin.hip.SHSU.2016.007.2016.04.20.day6	8.694967561609916
14989.skin.hip.SHSU.2016.007.2016.04.21.day7	9.846721235467486
14989.skin.hip.SHSU.2016.007.2016.04.22.day8	8.478367056805881
14989.skin.hip.SHSU.2016.007.2016.04.23.day9	10.57174722040053
14989.skin.hip.SHSU.2016.007.2016.04.24.day10	15.23418635100681
14989.skin.hip.SHSU.2016.007.2016.04.25.day11	12.67499863827497
14989.skin.hip.SHSU.2016.007.2016.04.26.day12	13.47133796074057
