	observed_features
14989.skin.hip.CMU.16.03.2016.02.25.day1	66
14989.skin.hip.CMU.16.03.2016.3.day10	54
14989.skin.hip.CMU.16.03.2016.3.day11	33
14989.skin.hip.CMU.16.03.2016.3.day12	30
14989.skin.hip.CMU.16.03.2016.3.day13	74
14989.skin.hip.CMU.16.03.2016.3.day15	38
14989.skin.hip.CMU.16.03.2016.3.day16	48
14989.skin.hip.CMU.16.03.2016.3.day17	28
14989.skin.hip.CMU.16.03.2016.3.day18	26
14989.skin.hip.CMU.16.03.2016.3.day2	36
14989.skin.hip.CMU.16.03.2016.3.day20	46
14989.skin.hip.CMU.16.03.2016.3.day21	48
14989.skin.hip.CMU.16.03.2016.3.day5	31
14989.skin.hip.CMU.16.03.2016.3.day8	36
14989.skin.hip.CMU.16.03.2016.3.day9	76
14989.skin.hip.CMU.16.04.2016.mo.day1	42
14989.skin.hip.CMU.16.04.2016.mo.day11	21
14989.skin.hip.CMU.16.04.2016.mo.day13	35
14989.skin.hip.CMU.16.04.2016.mo.day15	20
14989.skin.hip.CMU.16.04.2016.mo.day16	63
14989.skin.hip.CMU.16.04.2016.mo.day17	30
14989.skin.hip.CMU.16.04.2016.mo.day18	47
14989.skin.hip.CMU.16.04.2016.mo.day19	27
14989.skin.hip.CMU.16.04.2016.mo.day20	34
14989.skin.hip.CMU.16.04.2016.mo.day9	79
14989.skin.hip.CMU.16.05.2016.mo.day1	60
14989.skin.hip.CMU.16.05.2016.mo.day10	55
14989.skin.hip.CMU.16.05.2016.mo.day11	67
14989.skin.hip.CMU.16.05.2016.mo.day12	35
14989.skin.hip.CMU.16.05.2016.mo.day13	44
14989.skin.hip.CMU.16.05.2016.mo.day14	30
14989.skin.hip.CMU.16.05.2016.mo.day15	39
14989.skin.hip.CMU.16.05.2016.mo.day16	35
14989.skin.hip.CMU.16.05.2016.mo.day17	26
14989.skin.hip.CMU.16.05.2016.mo.day18	19
14989.skin.hip.CMU.16.05.2016.mo.day19	47
14989.skin.hip.CMU.16.05.2016.mo.day2	77
14989.skin.hip.CMU.16.05.2016.mo.day20	32
14989.skin.hip.CMU.16.05.2016.mo.day21	33
14989.skin.hip.CMU.16.05.2016.mo.day3	103
14989.skin.hip.CMU.16.05.2016.mo.day4	92
14989.skin.hip.CMU.16.05.2016.mo.day8	55
14989.skin.hip.CMU.16.05.2016.mo.day9	42
14989.skin.hip.UTK.K016.01.2016.04.07.day3	143
14989.skin.hip.UTK.K016.01.2016.04.11.day7	25
14989.skin.hip.UTK.K016.01.2016.04.12.day8	22
14989.skin.hip.UTK.K016.01.2016.04.13.day9	50
14989.skin.hip.UTK.K016.01.2016.04.14.day10	46
14989.skin.hip.UTK.K016.01.2016.04.15.day11	60
14989.skin.hip.UTK.K016.01.2016.04.16.day12	50
14989.skin.hip.UTK.K016.02.2016.04.13.day1	21
14989.skin.hip.UTK.K016.02.2016.04.14.day2	14
14989.skin.hip.UTK.K016.02.2016.04.15.day3	22
14989.skin.hip.UTK.K016.02.2016.04.16.day4	30
14989.skin.hip.UTK.K016.02.2016.04.17.day5	20
14989.skin.hip.UTK.K016.02.2016.04.18.day6	38
14989.soil.hip.CMU.16.03.2016.3.day1	47
14989.soil.hip.CMU.16.03.2016.3.day11	88
14989.soil.hip.CMU.16.03.2016.3.day12	58
14989.soil.hip.CMU.16.03.2016.3.day13	88
14989.soil.hip.CMU.16.03.2016.3.day14	104
14989.soil.hip.CMU.16.03.2016.3.day16	165
14989.soil.hip.CMU.16.03.2016.3.day19	72
14989.soil.hip.CMU.16.03.2016.3.day2	37
14989.soil.hip.CMU.16.03.2016.3.day20	112
14989.soil.hip.CMU.16.03.2016.3.day21	61
14989.soil.hip.CMU.16.03.2016.3.day3	79
14989.soil.hip.CMU.16.03.2016.3.day4	55
14989.soil.hip.CMU.16.03.2016.3.day5	119
14989.soil.hip.CMU.16.03.2016.3.day7	87
14989.soil.hip.CMU.16.03.2016.3.day8	92
14989.soil.hip.CMU.16.03.2016.3.day9	99
14989.soil.hip.CMU.16.04.2016.mo.day1	104
14989.soil.hip.CMU.16.04.2016.mo.day11	69
14989.soil.hip.CMU.16.04.2016.mo.day12	151
14989.soil.hip.CMU.16.04.2016.mo.day13	115
14989.soil.hip.CMU.16.04.2016.mo.day14	106
14989.soil.hip.CMU.16.04.2016.mo.day15	45
14989.soil.hip.CMU.16.04.2016.mo.day16	81
14989.soil.hip.CMU.16.04.2016.mo.day17	31
14989.soil.hip.CMU.16.04.2016.mo.day18	140
14989.soil.hip.CMU.16.04.2016.mo.day2	74
14989.soil.hip.CMU.16.04.2016.mo.day21	90
14989.soil.hip.CMU.16.04.2016.mo.day4	92
14989.soil.hip.CMU.16.04.2016.mo.day5	130
