	shannon_entropy
14989.skin.hip.CMU.16.03.2016.02.25.day1	4.252148143457913
14989.skin.hip.CMU.16.03.2016.3.day10	4.0109360459469645
14989.skin.hip.CMU.16.03.2016.3.day11	3.7762156335185613
14989.skin.hip.CMU.16.03.2016.3.day12	4.034590557448764
14989.skin.hip.CMU.16.03.2016.3.day13	4.7990733522830045
14989.skin.hip.CMU.16.03.2016.3.day15	3.71173738219501
14989.skin.hip.CMU.16.03.2016.3.day16	4.136554643371196
14989.skin.hip.CMU.16.03.2016.3.day17	2.81205738935244
14989.skin.hip.CMU.16.03.2016.3.day18	2.9052431248474084
14989.skin.hip.CMU.16.03.2016.3.day2	3.241636552277524
14989.skin.hip.CMU.16.03.2016.3.day20	4.12797033179057
14989.skin.hip.CMU.16.03.2016.3.day21	4.253608670150547
14989.skin.hip.CMU.16.03.2016.3.day5	4.029726495792199
14989.skin.hip.CMU.16.03.2016.3.day8	3.7516357326062786
14989.skin.hip.CMU.16.03.2016.3.day9	4.372182270950869
14989.skin.hip.CMU.16.04.2016.mo.day1	3.267956195263964
14989.skin.hip.CMU.16.04.2016.mo.day11	2.362705657900683
14989.skin.hip.CMU.16.04.2016.mo.day13	3.5350517849765204
14989.skin.hip.CMU.16.04.2016.mo.day15	3.436367517672679
14989.skin.hip.CMU.16.04.2016.mo.day16	4.0646701129910285
14989.skin.hip.CMU.16.04.2016.mo.day17	3.9061245578127717
14989.skin.hip.CMU.16.04.2016.mo.day18	4.166452941230459
14989.skin.hip.CMU.16.04.2016.mo.day19	3.807739749875465
14989.skin.hip.CMU.16.04.2016.mo.day20	4.143834948841716
14989.skin.hip.CMU.16.04.2016.mo.day9	4.265404542002813
14989.skin.hip.CMU.16.05.2016.mo.day1	4.62672595874199
14989.skin.hip.CMU.16.05.2016.mo.day10	4.569071329765587
14989.skin.hip.CMU.16.05.2016.mo.day11	4.649036377717562
14989.skin.hip.CMU.16.05.2016.mo.day12	3.8364776122873425
14989.skin.hip.CMU.16.05.2016.mo.day13	3.7052323860261858
14989.skin.hip.CMU.16.05.2016.mo.day14	4.304592341134472
14989.skin.hip.CMU.16.05.2016.mo.day15	4.393341822029647
14989.skin.hip.CMU.16.05.2016.mo.day16	4.272951844549419
14989.skin.hip.CMU.16.05.2016.mo.day17	3.284162106614914
14989.skin.hip.CMU.16.05.2016.mo.day18	2.7913056025904375
14989.skin.hip.CMU.16.05.2016.mo.day19	3.6540371294253426
14989.skin.hip.CMU.16.05.2016.mo.day2	5.121640453181122
14989.skin.hip.CMU.16.05.2016.mo.day20	3.7669375302149146
14989.skin.hip.CMU.16.05.2016.mo.day21	2.992989510047481
14989.skin.hip.CMU.16.05.2016.mo.day3	5.108821694186974
14989.skin.hip.CMU.16.05.2016.mo.day4	5.37346160343605
14989.skin.hip.CMU.16.05.2016.mo.day8	4.533065373079533
14989.skin.hip.CMU.16.05.2016.mo.day9	4.481123328125836
14989.skin.hip.UTK.K016.01.2016.04.07.day3	6.752635373447503
14989.skin.hip.UTK.K016.01.2016.04.11.day7	3.6481338966722685
14989.skin.hip.UTK.K016.01.2016.04.12.day8	3.143313536069956
14989.skin.hip.UTK.K016.01.2016.04.13.day9	4.21538706511291
14989.skin.hip.UTK.K016.01.2016.04.14.day10	3.8898333740275044
14989.skin.hip.UTK.K016.01.2016.04.15.day11	4.6213123706167565
14989.skin.hip.UTK.K016.01.2016.04.16.day12	3.5715920867417372
14989.skin.hip.UTK.K016.02.2016.04.13.day1	1.3481192088223062
14989.skin.hip.UTK.K016.02.2016.04.14.day2	2.259458835501929
14989.skin.hip.UTK.K016.02.2016.04.15.day3	2.7168417478410753
14989.skin.hip.UTK.K016.02.2016.04.16.day4	3.828046475180818
14989.skin.hip.UTK.K016.02.2016.04.17.day5	3.346061784890061
14989.skin.hip.UTK.K016.02.2016.04.18.day6	4.372642772202905
14989.soil.hip.CMU.16.03.2016.3.day1	4.218024446924614
14989.soil.hip.CMU.16.03.2016.3.day11	4.830283383511959
14989.soil.hip.CMU.16.03.2016.3.day12	3.4044415320287853
14989.soil.hip.CMU.16.03.2016.3.day13	4.713854867597449
14989.soil.hip.CMU.16.03.2016.3.day14	5.791593100604208
14989.soil.hip.CMU.16.03.2016.3.day16	6.541741180140713
14989.soil.hip.CMU.16.03.2016.3.day19	4.656164435387996
14989.soil.hip.CMU.16.03.2016.3.day2	3.5783801630548577
14989.soil.hip.CMU.16.03.2016.3.day20	6.021248246054015
14989.soil.hip.CMU.16.03.2016.3.day21	4.450861191227026
14989.soil.hip.CMU.16.03.2016.3.day3	5.1187900379034845
14989.soil.hip.CMU.16.03.2016.3.day4	4.617655078309952
14989.soil.hip.CMU.16.03.2016.3.day5	6.222420667477878
14989.soil.hip.CMU.16.03.2016.3.day7	5.6645456940545635
14989.soil.hip.CMU.16.03.2016.3.day8	5.555475017443715
14989.soil.hip.CMU.16.03.2016.3.day9	4.3224095780668454
14989.soil.hip.CMU.16.04.2016.mo.day1	5.229598107586121
14989.soil.hip.CMU.16.04.2016.mo.day11	5.120382656569591
14989.soil.hip.CMU.16.04.2016.mo.day12	5.64226588346159
14989.soil.hip.CMU.16.04.2016.mo.day13	5.358678621518391
14989.soil.hip.CMU.16.04.2016.mo.day14	5.5105820432271315
14989.soil.hip.CMU.16.04.2016.mo.day15	4.512982407086635
14989.soil.hip.CMU.16.04.2016.mo.day16	5.559619564639738
14989.soil.hip.CMU.16.04.2016.mo.day17	2.5582068345000413
14989.soil.hip.CMU.16.04.2016.mo.day18	5.801376641582924
14989.soil.hip.CMU.16.04.2016.mo.day2	4.95760699757042
14989.soil.hip.CMU.16.04.2016.mo.day21	5.029319474102433
14989.soil.hip.CMU.16.04.2016.mo.day4	4.091726813363869
14989.soil.hip.CMU.16.04.2016.mo.day5	5.266138413301534
14989.soil.hip.CMU.16.04.2016.mo.day6	3.994331224494453
14989.soil.hip.CMU.16.04.2016.mo.day7	6.059933266345646
14989.soil.hip.CMU.16.04.2016.mo.day8	5.885400174277062
14989.soil.hip.CMU.16.04.2016.mo.day9	5.585481153895717
14989.soil.hip.CMU.16.05.2016.mo.day1	5.0587167674393605
14989.soil.hip.CMU.16.05.2016.mo.day10	4.736262541594856
14989.soil.hip.CMU.16.05.2016.mo.day12	4.223003018225835
14989.soil.hip.CMU.16.05.2016.mo.day13	5.287543533106799
14989.soil.hip.CMU.16.05.2016.mo.day14	3.9897020789217064
14989.soil.hip.CMU.16.05.2016.mo.day16	5.314034861412362
14989.soil.hip.CMU.16.05.2016.mo.day18	4.967911106099064
14989.soil.hip.CMU.16.05.2016.mo.day19	4.8428910860801055
14989.soil.hip.CMU.16.05.2016.mo.day2	5.584951143413814
14989.soil.hip.CMU.16.05.2016.mo.day21	4.0164984880541725
14989.soil.hip.CMU.16.05.2016.mo.day3	5.625319566638937
14989.soil.hip.CMU.16.05.2016.mo.day4	6.39595820882867
14989.soil.hip.SHSU.2016.007.2016.04.17.day3	5.581132653850427
14989.soil.hip.SHSU.2016.007.2016.04.18.day4	4.725979157055193
14989.soil.hip.SHSU.2016.007.2016.04.20.day6	3.394383802388391
14989.soil.hip.SHSU.2016.007.2016.04.21.day7	4.087934101999549
14989.soil.hip.SHSU.2016.011.2016.04.15.day1	5.853703470442844
14989.soil.hip.SHSU.2016.011.2016.04.16.day2	6.375676233482906
14989.soil.hip.SHSU.2016.011.2016.04.17.day3	0.77435821749139
14989.soil.hip.SHSU.2016.011.2016.04.18.day4	3.4095874667060504
14989.soil.hip.SHSU.2016.011.2016.04.20.day6	3.4780753757102487
14989.soil.hip.SHSU.2016.011.2016.04.21.day7	4.053503621506084
14989.soil.hip.SHSU.2016.024.2016.04.15.day1	6.010621785069671
14989.soil.hip.SHSU.2016.024.2016.04.17.day3	5.976946858874495
14989.soil.hip.SHSU.2016.024.2016.04.18.day4	4.9032347461517745
14989.soil.hip.SHSU.2016.024.2016.04.20.day6	3.308479746194515
14989.soil.hip.SHSU.2016.024.2016.04.21.day7	3.8256759531354896
14989.soil.hip.UTK.K016.01.2016.04.05.day1	6.1998755437835396
14989.soil.hip.UTK.K016.01.2016.04.06.day2	6.844328503745118
14989.soil.hip.UTK.K016.01.2016.04.08.day4	5.967082057245517
14989.soil.hip.UTK.K016.01.2016.04.09.day5	5.44021175777717
14989.soil.hip.UTK.K016.01.2016.04.10.day6	6.196949795299182
14989.soil.hip.UTK.K016.01.2016.04.11.day7	6.912174295262314
14989.soil.hip.UTK.K016.01.2016.04.12.day8	6.42827931546303
14989.soil.hip.UTK.K016.01.2016.04.13.day9	5.635734888995277
14989.soil.hip.UTK.K016.01.2016.04.14.day10	5.728069249161492
14989.soil.hip.UTK.K016.01.2016.04.15.day11	4.277728363789311
14989.soil.hip.UTK.K016.01.2016.04.16.day12	4.281239902853886
14989.soil.hip.UTK.K016.01.2016.04.17.day13	3.524101769161196
14989.soil.hip.UTK.K016.01.2016.04.18.day14	3.844531663418638
14989.soil.hip.UTK.K016.01.2016.04.21.day17	3.861960835374488
14989.soil.hip.UTK.K016.01.2016.04.22.day18	4.723649824363409
14989.soil.hip.UTK.K016.01.2016.04.23.day19	4.032981016125607
14989.soil.hip.UTK.K016.01.2016.04.24.day20	4.784656951128913
14989.soil.hip.UTK.K016.01.2016.04.25.day21	4.989907496182995
14989.soil.hip.UTK.K016.02.2016.04.13.day1	6.199918071239251
14989.soil.hip.UTK.K016.02.2016.04.14.day2	6.26793823948232
14989.soil.hip.UTK.K016.02.2016.04.16.day4	6.843426626860244
14989.soil.hip.UTK.K016.02.2016.04.18.day6	6.02778917633297
14989.soil.hip.UTK.K016.02.2016.04.24.day12	5.3796443257732465
14989.soil.hip.UTK.K016.02.2016.04.25.day13	6.634351968286454
14989.soil.hip.UTK.K016.02.2016.04.26.day14	4.763588147635902
14989.soil.hip.UTK.K016.02.2016.04.27.day15	5.519008639885496
14989.soil.hip.UTK.K016.02.2016.04.28.day16	5.14233358717302
14989.soil.hip.UTK.K016.02.2016.04.29.day17	5.545923538009532
14989.soil.hip.UTK.K016.02.2016.04.30.day18	4.733371093848152
14989.soil.hip.UTK.K016.02.2016.05.01.day19	5.806557325302224
14989.soil.hip.UTK.K016.02.2016.05.03.day21	5.809122981237275
14989.soil.hip.UTK.K016.03.2016.05.06.day1	6.3612255991941895
14989.soil.hip.UTK.K016.03.2016.05.07.day2	7.231826397375528
14989.soil.hip.UTK.K016.03.2016.05.08.day3	6.702354556001035
14989.soil.hip.UTK.K016.03.2016.05.10.day5	5.516353165342347
14989.soil.hip.UTK.K016.03.2016.05.11.day6	6.27421364101812
14989.soil.hip.UTK.K016.03.2016.05.13.day8	5.993111006184194
14989.soil.hip.UTK.K016.03.2016.05.14.day9	5.470042856958209
14989.soil.hip.UTK.K016.03.2016.05.15.day10	6.185716676946732
14989.soil.hip.UTK.K016.03.2016.05.16.day11	4.809404350450056
14989.soil.hip.UTK.K016.03.2016.05.17.day12	6.044716067476006
14989.soil.hip.UTK.K016.03.2016.05.18.day13	5.688826611034045
14989.soil.hip.UTK.K016.03.2016.05.19.day14	5.9601106254884355
14989.soil.hip.UTK.K016.03.2016.05.20.day15	5.523508190064878
14989.soil.hip.UTK.K016.03.2016.05.21.day16	6.477079665260309
14989.skin.hip.CMU.16.03.2016.3.day3	4.654355521736472
14989.skin.hip.CMU.16.04.2016.mo.day8	3.485149797104278
14989.skin.hip.SHSU.2016.007.2016.04.17.day3	4.8216303989743405
14989.skin.hip.SHSU.2016.007.2016.04.18.day4	3.527055777069923
14989.skin.hip.SHSU.2016.007.2016.04.19.day5	3.504576353085718
14989.skin.hip.SHSU.2016.007.2016.04.20.day6	3.196493704129189
14989.skin.hip.SHSU.2016.007.2016.04.21.day7	3.634014725124448
14989.skin.hip.SHSU.2016.007.2016.04.22.day8	3.5779553202243006
14989.skin.hip.SHSU.2016.007.2016.04.23.day9	3.8003283434854773
14989.skin.hip.SHSU.2016.007.2016.04.24.day10	4.290247396221631
14989.skin.hip.SHSU.2016.007.2016.04.25.day11	4.4230243825605795
14989.skin.hip.SHSU.2016.007.2016.04.26.day12	4.118277434785837
14989.skin.hip.SHSU.2016.007.2016.04.27.day13	3.798882516001275
14989.skin.hip.SHSU.2016.007.2016.04.28.day14	4.914266252245966
14989.skin.hip.SHSU.2016.007.2016.04.29.day15	4.238098054724446
14989.skin.hip.SHSU.2016.007.2016.04.30.day16	4.524050994842177
